"","parutionJO","titre","annee","intitule","statutEnquete","numeroVISA","nouvelleEdition","initiative","contenuQuestionnaire","uniteStatistique","typeEnquete","champGeographique","extensionsGeographiques","periodicite","tailleEchantillon","serviceProducteurPrincipal","servicesProducteurs","dateCommissionAC","dateDebutAC","dateFinAC","commissionLabel","documentLabel","dateCommissionAO","dateDebutAO","dateFinAO","commissionCNIS"
"11","2019-10-24","Activité et conditions d'emploi de la main d'oeuvre (Acemo) - Enquête annuelle sur les petites entreprises (TPE) (2020A059TV)",2020,"Activité et conditions d'emploi de la main d'oeuvre (Acemo) - Enquête annuelle sur les petites entreprises (TPE)","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2020A059TV","Reconduite par un nouvel avis d'opportunité (enquêtes annuelles ou infra-annuelles)","Enquête d'initiative nationale ou régionale","Partiellement défini par un règlement européen","Entreprise","Répétitive","L’enquête couvre les entreprises situées en France hors Mayotte.",NA,"Annuelle","60000","SSM Travail - Direction de l’animation de la recherche, des études et des statistiques (Dares)","SSM Travail - Direction de l’animation de la recherche, des études et des statistiques (Dares)","2017-09-20","2018-01-01","2022-12-31","Entreprises","https://www.cnis.fr/wp-content/uploads/2017/09/AC_2017_dares_Acemo_TPE.pdf","2017-05-04","2018-01-01","2022-12-31","emploi-qualification-et-revenus-du-travail"
"12","2019-10-24","Activité et conditions d'emploi de la main d'oeuvre (Acemo) - Enquête annuelle sur les petites entreprises (TPE) (2021A059TV)",2021,"Activité et conditions d'emploi de la main d'oeuvre (Acemo) - Enquête annuelle sur les petites entreprises (TPE)","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2021A059TV","Reconduite par un nouvel avis d'opportunité (enquêtes annuelles ou infra-annuelles)","Enquête d'initiative nationale ou régionale","Partiellement défini par un règlement européen","Entreprise","Répétitive","L’enquête couvre les entreprises situées en France hors Mayotte.",NA,"Annuelle","60000","SSM Travail - Direction de l’animation de la recherche, des études et des statistiques (Dares)","SSM Travail - Direction de l’animation de la recherche, des études et des statistiques (Dares)","2017-09-20","2018-01-01","2022-12-31","Entreprises","https://www.cnis.fr/wp-content/uploads/2017/09/AC_2017_dares_Acemo_TPE.pdf","2017-05-04","2018-01-01","2022-12-31","emploi-qualification-et-revenus-du-travail"
"13","2022-01-15","Activité et conditions d'emploi de la main d'oeuvre (Acemo) - Enquête annuelle sur les petites entreprises (TPE) (2022A060TV)",2022,"Activité et conditions d'emploi de la main d'oeuvre (Acemo) - Enquête annuelle sur les petites entreprises (TPE)","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2022A060TV","Reconduite par un nouvel avis d'opportunité (enquêtes annuelles ou infra-annuelles)","Enquête d'initiative nationale ou régionale","Partiellement défini par un règlement européen","Entreprise","Répétitive","L’enquête couvre les entreprises situées en France hors Mayotte.",NA,"Annuelle","60000","SSM Travail - Direction de l’animation de la recherche, des études et des statistiques (Dares)","SSM Travail - Direction de l’animation de la recherche, des études et des statistiques (Dares)","2017-09-20","2018-01-01","2022-12-31","Entreprises","https://www.cnis.fr/wp-content/uploads/2017/09/AC_2017_dares_Acemo_TPE.pdf","2017-05-04","2018-01-01","2022-12-31","emploi-qualification-et-revenus-du-travail"
"14",NA,"Activité et conditions d'emploi de la main-d'œuvre (Acemo) - Enquête Trimestrielle (2023T003TV)",2023,"Activité et conditions d'emploi de la main-d'œuvre (Acemo) - Enquête Trimestrielle ","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2023T003TV","Reconduite par un nouvel avis d'opportunité (enquêtes annuelles ou infra-annuelles)","Enquête d'initiative nationale ou régionale","Servant à répondre à un règlement européen","Établissement ",NA,"L’enquête couvre les établissements situés en France métropolitaine et (depuis 2018) dans les Drom (hors Mayotte).",NA,"Trimestrielle","38000","SSM Travail - Direction de l’animation de la recherche, des études et des statistiques (Dares)","SSM Travail - Direction de l’animation de la recherche, des études et des statistiques (Dares)","2022-06-08","2023-01-01","2027-12-31","Entreprises","https://www.cnis.fr/wp-content/uploads/2022/08/AC_2022_Dares_Acemo_trimestrielle.pdf","2022-05-12","2023-01-01","2027-12-31","emploi-qualification-et-revenus-du-travail"
"15",NA,"Activité et conditions d'emploi de la main-d'œuvre (Acemo) - Enquête annuelle sur la Participation, l'intéressement et l'épargne d'entreprise (PIPA) (2023A006TV)",2023,"Activité et conditions d'emploi de la main-d'œuvre (Acemo) - Enquête annuelle sur la Participation, l'intéressement et l'épargne d'entreprise (PIPA)","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2023A006TV","Reconduite par un nouvel avis d'opportunité (enquêtes annuelles ou infra-annuelles)","Enquête d'initiative nationale ou régionale","Sans lien avec un règlement européen","Entreprise",NA,"L’enquête couvre les unités légales situées en France métropolitaine et (depuis 2018) dans les Drom (hors Mayotte).",NA,"Annuelle","19000","SSM Travail - Direction de l’animation de la recherche, des études et des statistiques (Dares)","SSM Travail - Direction de l’animation de la recherche, des études et des statistiques (Dares)","2022-06-08","2023-01-01","2027-12-31","Entreprises","https://www.cnis.fr/wp-content/uploads/2022/08/AC_2022_Dares_Acemo_pipa.pdf","2022-05-12","2022-01-01","2027-12-31","emploi-qualification-et-revenus-du-travail"
"16",NA,"Activité et conditions d'emploi de la main-d'œuvre (Acemo) - Enquête annuelle sur la Participation, l'intéressement et l'épargne d'entreprise (PIPA) (2024A029TV)",2024,"Activité et conditions d'emploi de la main-d'œuvre (Acemo) - Enquête annuelle sur la Participation, l'intéressement et l'épargne d'entreprise (PIPA)","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2024A029TV","Reconduite par un nouvel avis d'opportunité (enquêtes annuelles ou infra-annuelles)","Enquête d'initiative nationale ou régionale","Sans lien avec un règlement européen","Entreprise",NA,"L’enquête couvre les unités légales situées en France métropolitaine et (depuis 2018) dans les Drom (hors Mayotte).",NA,"Annuelle","19000","SSM Travail - Direction de l’animation de la recherche, des études et des statistiques (Dares)","SSM Travail - Direction de l’animation de la recherche, des études et des statistiques (Dares)","2022-06-08","2023-01-01","2027-12-31","Entreprises","https://www.cnis.fr/wp-content/uploads/2022/08/AC_2022_Dares_Acemo_pipa.pdf","2022-05-12","2022-01-01","2027-12-31","emploi-qualification-et-revenus-du-travail"
"17","2017-10-02","Activité et conditions d’emploi de la main-d’œuvre (Acemo) - Enquête sur la participation, l’intéressement, et l’épargne d’entreprise (Pipa) (2018A040TV)",2018,"Activité et conditions d’emploi de la main-d’œuvre (Acemo) - Enquête annuelle sur la Participation, l'Intéressement et l’éPArgne d’entreprise (Pipa)","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2018A040TV","Reconduite par un nouvel avis d'opportunité (enquêtes annuelles ou infra-annuelles)","Enquête d'initiative nationale ou régionale","Sans lien avec un règlement européen","Entreprise","Répétitive","L’enquête porte sur les entreprises du champ situées en France métropolitaine. A compter de 2018, elle couvrira également les entreprises du champ situées dans les Dom hors Mayotte, ce qui représente 207 000 salariés supplémentaires.",NA,"Annuelle","19000","SSM Travail - Direction de l’animation de la recherche, des études et des statistiques (Dares)","SSM Travail - Direction de l’animation de la recherche, des études et des statistiques (Dares)","2017-09-20","2018-01-01","2022-12-31","Entreprises","https://www.cnis.fr/wp-content/uploads/2017/09/AC_2017_dares_Acemo_PIPA.pdf","2017-05-04","2018-01-01","2022-12-31","emploi-qualification-et-revenus-du-travail"
"18","2018-10-15","Activité et conditions d’emploi de la main-d’œuvre (Acemo) - Enquête sur la participation, l’intéressement, et l’épargne d’entreprise (Pipa) (2019A041TV)",2019,"Activité et conditions d’emploi de la main-d’œuvre (Acemo) - Enquête annuelle sur la Participation, l'Intéressement et l’éPArgne d’entreprise (Pipa)","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2019A041TV","Reconduite par un nouvel avis d'opportunité (enquêtes annuelles ou infra-annuelles)","Enquête d'initiative nationale ou régionale","Sans lien avec un règlement européen","Entreprise","Répétitive","L’enquête porte sur les entreprises du champ situées en France métropolitaine. A compter de 2018, elle couvrira également les entreprises du champ situées dans les Dom hors Mayotte, ce qui représente 207 000 salariés supplémentaires.",NA,"Annuelle","18999","SSM Travail - Direction de l’animation de la recherche, des études et des statistiques (Dares)","SSM Travail - Direction de l’animation de la recherche, des études et des statistiques (Dares)","2017-09-20","2018-01-01","2022-12-31","Entreprises","https://www.cnis.fr/wp-content/uploads/2017/09/AC_2017_dares_Acemo_PIPA.pdf","2017-05-04","2018-01-01","2022-12-31","emploi-qualification-et-revenus-du-travail"
"19","2019-10-24","Activité et conditions d’emploi de la main-d’œuvre (Acemo) - Enquête sur la participation, l’intéressement, et l’épargne d’entreprise (Pipa) (2020A060TV)",2020,"Activité et conditions d’emploi de la main-d’œuvre (Acemo) - Enquête annuelle sur la Participation, l'Intéressement et l’éPArgne d’entreprise (Pipa)","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2020A060TV","Reconduite par un nouvel avis d'opportunité (enquêtes annuelles ou infra-annuelles)","Enquête d'initiative nationale ou régionale","Sans lien avec un règlement européen","Entreprise","Répétitive","L’enquête porte sur les entreprises du champ situées en France métropolitaine. A compter de 2018, elle couvrira également les entreprises du champ situées dans les Dom hors Mayotte, ce qui représente 207 000 salariés supplémentaires.",NA,"Annuelle","18999","SSM Travail - Direction de l’animation de la recherche, des études et des statistiques (Dares)","SSM Travail - Direction de l’animation de la recherche, des études et des statistiques (Dares)","2017-09-20","2018-01-01","2022-12-31","Entreprises","https://www.cnis.fr/wp-content/uploads/2017/09/AC_2017_dares_Acemo_PIPA.pdf","2017-05-04","2018-01-01","2022-12-31","emploi-qualification-et-revenus-du-travail"
"20","2020-10-29","Activité et conditions d’emploi de la main-d’œuvre (Acemo) - Enquête sur la participation, l’intéressement, et l’épargne d’entreprise (Pipa) (2021A076TV)",2021,"Activité et conditions d’emploi de la main-d’œuvre (Acemo) - Enquête annuelle sur la Participation, l'Intéressement et l’éPArgne d’entreprise (Pipa)","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2021A076TV","Reconduite par un nouvel avis d'opportunité (enquêtes annuelles ou infra-annuelles)","Enquête d'initiative nationale ou régionale","Sans lien avec un règlement européen","Entreprise","Répétitive","L’enquête porte sur les entreprises du champ situées en France métropolitaine. A compter de 2018, elle couvrira également les entreprises du champ situées dans les Dom hors Mayotte, ce qui représente 207 000 salariés supplémentaires.",NA,"Annuelle","18999","SSM Travail - Direction de l’animation de la recherche, des études et des statistiques (Dares)","SSM Travail - Direction de l’animation de la recherche, des études et des statistiques (Dares)","2017-09-20","2018-01-01","2022-12-31","Entreprises","https://www.cnis.fr/wp-content/uploads/2017/09/AC_2017_dares_Acemo_PIPA.pdf","2017-05-04","2018-01-01","2022-12-31","emploi-qualification-et-revenus-du-travail"
"21","2022-01-15","Activité et conditions d’emploi de la main-d’œuvre (Acemo) - Enquête sur la participation, l’intéressement, et l’épargne d’entreprise (Pipa) (2022A071TV)",2022,"Activité et conditions d’emploi de la main-d’œuvre (Acemo) - Enquête annuelle sur la Participation, l'Intéressement et l’éPArgne d’entreprise (Pipa)","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2022A071TV","Reconduite par un nouvel avis d'opportunité (enquêtes annuelles ou infra-annuelles)","Enquête d'initiative nationale ou régionale","Sans lien avec un règlement européen","Entreprise","Répétitive","L’enquête porte sur les entreprises du champ situées en France métropolitaine. A compter de 2018, elle couvrira également les entreprises du champ situées dans les Dom hors Mayotte, ce qui représente 207 000 salariés supplémentaires.",NA,"Annuelle","18999","SSM Travail - Direction de l’animation de la recherche, des études et des statistiques (Dares)","SSM Travail - Direction de l’animation de la recherche, des études et des statistiques (Dares)","2017-09-20","2018-01-01","2022-12-31","Entreprises","https://www.cnis.fr/wp-content/uploads/2017/09/AC_2017_dares_Acemo_PIPA.pdf","2017-05-04","2018-01-01","2022-12-31","emploi-qualification-et-revenus-du-travail"
"22","2017-10-02","Activité et conditions d’emploi de la main-d’œuvre (Acemo) - Enquête annuelle sur le Dialogue Social en Entreprise (DSE) (2018A038TV)",2018,"Activité et conditions d’emploi de la main-d’œuvre (Acemo) - Enquête annuelle sur le Dialogue Social en Entreprise (DSE)","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2018A038TV","Reconduite par un nouvel avis d'opportunité (enquêtes annuelles ou infra-annuelles)","Enquête d'initiative nationale ou régionale","Sans lien avec un règlement européen","Entreprise","Répétitive","Jusqu’en 2017, l’enquête était administrée en France métropolitaine. A compter de l’édition 2018, elle couvrira les entreprises du champ, situées en France hors Mayotte, ce qui représente 275 000 salariés supplémentaires.",NA,"Annuelle","15000","SSM Travail - Direction de l’animation de la recherche, des études et des statistiques (Dares)","SSM Travail - Direction de l’animation de la recherche, des études et des statistiques (Dares)","2017-09-20","2018-01-01","2022-12-31","Entreprises","https://www.cnis.fr/wp-content/uploads/2017/09/AC_2017_dares_Acemo_DSE.pdf","2017-05-31","2018-01-01","2022-12-31","emploi-qualification-et-revenus-du-travail"
"23","2018-10-15","Activité et conditions d’emploi de la main-d’œuvre (Acemo) - Enquête annuelle sur le Dialogue Social en Entreprise (DSE) (2019A039TV)",2019,"Activité et conditions d’emploi de la main-d’œuvre (Acemo) - Enquête annuelle sur le Dialogue Social en Entreprise (DSE)","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2019A039TV","Reconduite par un nouvel avis d'opportunité (enquêtes annuelles ou infra-annuelles)","Enquête d'initiative nationale ou régionale","Sans lien avec un règlement européen","Entreprise","Répétitive","Jusqu’en 2017, l’enquête était administrée en France métropolitaine. A compter de l’édition 2018, elle couvrira les entreprises du champ, situées en France hors Mayotte, ce qui représente 275 000 salariés supplémentaires.",NA,"Annuelle","14997","SSM Travail - Direction de l’animation de la recherche, des études et des statistiques (Dares)","SSM Travail - Direction de l’animation de la recherche, des études et des statistiques (Dares)","2017-09-20","2018-01-01","2022-12-31","Entreprises","https://www.cnis.fr/wp-content/uploads/2017/09/AC_2017_dares_Acemo_DSE.pdf","2017-05-31","2018-01-01","2022-12-31","emploi-qualification-et-revenus-du-travail"
"24","2019-10-24","Activité et conditions d’emploi de la main-d’œuvre (Acemo) - Enquête annuelle sur le Dialogue Social en Entreprise (DSE) (2020A058TV)",2020,"Activité et conditions d’emploi de la main-d’œuvre (Acemo) - Enquête annuelle sur le Dialogue Social en Entreprise (DSE)","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2020A058TV","Reconduite par un nouvel avis d'opportunité (enquêtes annuelles ou infra-annuelles)","Enquête d'initiative nationale ou régionale","Sans lien avec un règlement européen","Entreprise","Répétitive","Jusqu’en 2017, l’enquête était administrée en France métropolitaine. A compter de l’édition 2018, elle couvrira les entreprises du champ, situées en France hors Mayotte, ce qui représente 275 000 salariés supplémentaires.",NA,"Annuelle","14997","SSM Travail - Direction de l’animation de la recherche, des études et des statistiques (Dares)","SSM Travail - Direction de l’animation de la recherche, des études et des statistiques (Dares)","2017-09-20","2018-01-01","2022-12-31","Entreprises","https://www.cnis.fr/wp-content/uploads/2017/09/AC_2017_dares_Acemo_DSE.pdf","2017-05-31","2018-01-01","2022-12-31","emploi-qualification-et-revenus-du-travail"
"25","2019-10-24","Activité et conditions d’emploi de la main-d’œuvre (Acemo) - Enquête annuelle sur le Dialogue Social en Entreprise (DSE) (2021A068TV)",2021,"Activité et conditions d’emploi de la main-d’œuvre (Acemo) - Enquête annuelle sur le Dialogue Social en Entreprise (DSE)","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2021A068TV","Reconduite par un nouvel avis d'opportunité (enquêtes annuelles ou infra-annuelles)","Enquête d'initiative nationale ou régionale","Sans lien avec un règlement européen","Entreprise","Répétitive","Jusqu’en 2017, l’enquête était administrée en France métropolitaine. A compter de l’édition 2018, elle couvrira les entreprises du champ, situées en France hors Mayotte, ce qui représente 275 000 salariés supplémentaires.",NA,"Annuelle","14997","SSM Travail - Direction de l’animation de la recherche, des études et des statistiques (Dares)","SSM Travail - Direction de l’animation de la recherche, des études et des statistiques (Dares)","2017-09-20","2018-01-01","2022-12-31","Entreprises","https://www.cnis.fr/wp-content/uploads/2017/09/AC_2017_dares_Acemo_DSE.pdf","2017-05-31","2018-01-01","2022-12-31","emploi-qualification-et-revenus-du-travail"
"26","2022-01-15","Activité et conditions d’emploi de la main-d’œuvre (Acemo) - Enquête annuelle sur le Dialogue Social en Entreprise (DSE) (2022A069TV)",2022,"Activité et conditions d’emploi de la main-d’œuvre (Acemo) - Enquête annuelle sur le Dialogue Social en Entreprise (DSE)","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2022A069TV","Reconduite par un nouvel avis d'opportunité (enquêtes annuelles ou infra-annuelles)","Enquête d'initiative nationale ou régionale","Sans lien avec un règlement européen","Entreprise","Répétitive","Jusqu’en 2017, l’enquête était administrée en France métropolitaine. A compter de l’édition 2018, elle couvrira les entreprises du champ, situées en France hors Mayotte, ce qui représente 275 000 salariés supplémentaires.",NA,"Annuelle","14997","SSM Travail - Direction de l’animation de la recherche, des études et des statistiques (Dares)","SSM Travail - Direction de l’animation de la recherche, des études et des statistiques (Dares)","2017-09-20","2018-01-01","2022-12-31","Entreprises","https://www.cnis.fr/wp-content/uploads/2017/09/AC_2017_dares_Acemo_DSE.pdf","2017-05-31","2018-01-01","2022-12-31","emploi-qualification-et-revenus-du-travail"
"27",NA,"Activité et conditions d’emploi de la main-d’œuvre (Acemo) - Enquête annuelle sur le Dialogue social en entreprise (DSE) (2023A005TV)",2023,"Activité et conditions d’emploi de la main-d’œuvre (Acemo) - Enquête annuelle sur le Dialogue social en entreprise (DSE)","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2023A005TV","Reconduite par un nouvel avis d'opportunité (enquêtes annuelles ou infra-annuelles)","Enquête d'initiative nationale ou régionale","Sans lien avec un règlement européen","Entreprise",NA,"L’enquête couvre les unités légales situées en France métropolitaine et (depuis 2018) dans les Drom (hors Mayotte).",NA,"Annuelle","16000","SSM Travail - Direction de l’animation de la recherche, des études et des statistiques (Dares)","SSM Travail - Direction de l’animation de la recherche, des études et des statistiques (Dares)","2022-06-08","2023-01-01","2027-12-31","Entreprises","https://www.cnis.fr/wp-content/uploads/2022/08/AC_2022_Dares_Acemo-DSE.pdf","2022-05-12","2023-01-01","2027-12-31","emploi-qualification-et-revenus-du-travail"
